timestamp, frame, x, y, z, qx, qy, qz, qw
465191.090637583, 000199, -4.358463, 0.7981592, -0.49394292, -0.19104545, 0.13906701, -0.97145134, -0.02107961
465191.123984625, 000200, -4.359471, 0.7974353, -0.4822325, -0.19637293, 0.13976581, -0.97027916, -0.021483347
465191.15733175, 000201, -4.36064, 0.7967887, -0.47043765, -0.20224781, 0.1391265, -0.9691706, -0.021166064
465191.190678875, 000202, -4.3621154, 0.7967684, -0.45686257, -0.20699841, 0.138233, -0.96829903, -0.020980746
465191.224025916, 000203, -4.3632994, 0.79640687, -0.44363165, -0.21193664, 0.1380641, -0.96725404, -0.020990651
465191.257372958, 000204, -4.3643064, 0.7961343, -0.4303965, -0.21845289, 0.13850005, -0.96574515, -0.020790892
465191.290720125, 000205, -4.3655605, 0.79599565, -0.4152316, -0.22595404, 0.13914831, -0.9639364, -0.020225832
465191.324067125, 000206, -4.366233, 0.7961363, -0.40111852, -0.23255023, 0.13989583, -0.9622645, -0.01991175
465191.357414291, 000207, -4.36648, 0.7964778, -0.3869474, -0.237943, 0.14054607, -0.96084416, -0.02021026
465191.390761375, 000208, -4.3676534, 0.7976389, -0.37216133, -0.24440469, 0.14068624, -0.9592068, -0.01989587
465191.424108458, 000209, -4.3679876, 0.7991555, -0.35844684, -0.25136793, 0.14065349, -0.957429, -0.01898526
465191.4574555, 000210, -4.3678584, 0.8006804, -0.34528232, -0.25767568, 0.13991612, -0.95587105, -0.018361837
465191.490802541, 000211, -4.368616, 0.8020177, -0.33196598, -0.2635554, 0.13874666, -0.95443374, -0.018550182
465191.524149625, 000212, -4.368264, 0.80308306, -0.31926608, -0.26944026, 0.13786246, -0.95289713, -0.01956883
465191.557496625, 000213, -4.3673606, 0.8038809, -0.30682832, -0.27553833, 0.13765317, -0.95115215, -0.020970413
465191.590843875, 000214, -4.3662686, 0.8044337, -0.29429007, -0.2813044, 0.13766533, -0.9494251, -0.022539103
465191.624190916, 000215, -4.3645177, 0.80475366, -0.28232062, -0.28682667, 0.13748877, -0.94776124, -0.023996737
465191.657537875, 000216, -4.3624973, 0.8049848, -0.27101672, -0.29193404, 0.13727301, -0.9461969, -0.025338002
465191.690884958, 000217, -4.361015, 0.80520296, -0.25995195, -0.29689902, 0.13756554, -0.9445625, -0.026987646
465191.724232083, 000218, -4.3584304, 0.8047731, -0.24892634, -0.30142963, 0.13887742, -0.942853, -0.029688813
465191.757579166, 000219, -4.355246, 0.8040296, -0.23800577, -0.30637395, 0.14008753, -0.9410084, -0.03183936
465191.79092625, 000220, -4.3528013, 0.8041062, -0.22590087, -0.3118795, 0.14156488, -0.9389427, -0.032820363
465191.824273333, 000221, -4.3494005, 0.8034932, -0.21480279, -0.31658038, 0.1435194, -0.9370228, -0.034166154
465191.857620375, 000222, -4.3457355, 0.8026634, -0.20411164, -0.31977636, 0.14371367, -0.93585086, -0.03567209
465191.8909675, 000223, -4.3418646, 0.8018916, -0.19169423, -0.32276815, 0.14274457, -0.9349233, -0.036918707
465191.924314458, 000224, -4.338241, 0.80110264, -0.1808835, -0.32648334, 0.14167932, -0.9337578, -0.037839763
465191.957661666, 000225, -4.334272, 0.8000684, -0.17007776, -0.33003014, 0.14149998, -0.9324997, -0.038756672
465191.991008708, 000226, -4.330113, 0.7995946, -0.15867132, -0.33311552, 0.14166735, -0.9313694, -0.038925778
465192.024355791, 000227, -4.325451, 0.7985989, -0.14747944, -0.33545128, 0.14149451, -0.9305667, -0.03869457
465192.057702875, 000228, -4.320562, 0.7974946, -0.13628249, -0.33750704, 0.1413538, -0.92983854, -0.038837932
465192.091049916, 000229, -4.31568, 0.796885, -0.12387952, -0.33971298, 0.14085586, -0.929119, -0.03863393
465192.124397, 000230, -4.310234, 0.79610723, -0.11184102, -0.34188667, 0.14099263, -0.9283098, -0.038410917
465192.157744041, 000231, -4.3041353, 0.79523695, -0.09991284, -0.34372494, 0.14072199, -0.9276907, -0.037952833
